# runtime	.NET CLR 8.0.30
# platform	OSX	Unix 26.5.2
# seed	700017
# build	833427992d+c3a846e7/9e602b0f/1749f466
# netframe	synchash	sharedrandom	randomdraws	defeatstate
1	1268864436	1165289220	14	0
2	1267678135	1165289220	14	0
3	1267417567	1165289220	14	0
4	1267156999	1165289220	14	0
5	1266896431	1165289220	14	0
6	1266635863	1165289220	14	0
7	766476792	424086419	46	0
8	766935793	424086419	46	0
9	763591473	424086419	46	0
10	835497120	424086419	46	0
11	-502561015	424086419	46	0
12	785991336	1721779498	48	0
13	777341456	1721779498	48	0
14	776991317	1721779498	48	0
15	1884211205	1055775168	55	0
16	1882461050	1055775168	55	0
17	26031911	1440459423	61	0
18	14767989	1440459423	61	0
19	-717374468	711841177	62	0
20	-728662828	711841177	62	0
21	-466909764	976953761	63	0
22	-479460079	976953761	63	0
23	-476535021	976953761	63	0
24	-828454366	976953761	63	0
25	434332603	39084615	69	0
26	-1727574120	39084615	69	0
27	-1451817615	325313205	71	0
28	-1463118550	325313205	71	0
29	-1814922910	1989914262	79	0
30	-1768970695	1989914262	79	0
31	-1772010320	1989914262	79	0
32	-1783615892	1989914262	79	0
33	1721169476	1212782346	80	0
34	1717844531	1239025126	81	0
35	482149948	16002175	82	0
36	477766633	16002175	82	0
37	464265955	16002175	82	0
38	-1916986153	2028267461	89	0
39	-236320468	2028267461	89	0
40	1525823462	855071089	94	0
41	-408363616	1174795722	95	0
42	-876889146	430455062	97	0
43	-888435101	430455062	97	0
44	-1090931924	108064569	106	0
45	-146871282	1062263943	107	0
46	375572836	1316584166	108	0
47	293773086	1316584166	108	0
48	-946201046	225226696	110	0
49	-1291388732	1279797815	111	0
50	62214806	482911358	113	0
51	-116013344	219131524	121	0
52	1396459658	1735952113	123	0
53	-2057721213	1613528370	137	0
54	-2001632990	1613528370	137	0
55	-1181722342	753811699	145	0
56	-1182532559	753811699	145	0
57	459990149	1910195978	147	0
58	-1424176294	27402614	148	0
59	-1421832064	27402614	148	0
60	1122281379	308945656	156	0
61	-185341465	308945656	156	0
62	59915507	529354539	158	0
63	112401267	582764059	159	0
64	1367048420	1834795281	161	0
65	693261206	1587527857	162	0
66	-941528381	1502347963	170	0
67	811317225	1502347963	170	0
68	496284026	1213106195	171	0
69	490806812	1213106195	171	0
70	-611503111	94795518	174	0
71	889894063	1566717456	175	0
72	-1296909262	1170969420	182	0
73	-1332199926	1170969420	182	0
74	-1454788501	1170969420	182	0
75	1797815781	191610368	184	0
76	-2040990893	669236291	187	0
77	-279217470	546633728	188	0
78	1591779958	2045792287	194	0
79	1335050097	2045792287	194	0
80	939683577	1648157246	196	0
81	210612786	775052792	205	0
82	117582059	482641754	212	0
83	1822144891	860152806	213	0
84	-2012527557	1328987595	214	0
85	-59666978	185236511	220	0
86	1571114790	1784674653	221	0
87	-1745651596	1730133022	222	0
88	1101400446	2133627277	223	0
89	1996270149	521956460	225	0
90	-2085662913	825791673	228	0
91	-2091460578	825791673	228	0
92	-2114796947	825791673	228	0
93	-1037734719	207153608	230	0
94	-102031303	1079188718	239	0
95	-943725439	258322229	240	0
96	1462293618	258322229	240	0
97	2105425159	915183646	241	0
98	-305693821	1780088365	242	0
99	-2133311043	1238430534	247	0
100	939287470	43473061	250	0
101	1845014587	950708107	251	0
102	-2056477570	1274902233	253	0
103	-2050461032	1274902233	253	0
104	-47406379	1005112956	254	0
105	-701770973	1102590197	262	0
106	-258774893	1526040881	264	0
107	1301383189	1287495858	268	0
108	1298859213	1287495858	268	0
109	1483072987	241737977	273	0
110	1908682388	680989289	274	0
111	-1973611892	313390490	275	0
