# runtime	.NET CLR 8.0.30
# platform	OSX	Unix 26.5.2
# seed	700018
# build	833427992d+c3a846e7/9e602b0f/1749f466
# netframe	synchash	sharedrandom	randomdraws	defeatstate
1	857839018	753101956	14	0
2	856652717	753101956	14	0
3	856392149	753101956	14	0
4	856131581	753101956	14	0
5	855871013	753101956	14	0
6	855610445	753101956	14	0
7	1135974537	794344613	46	0
8	1135629389	794344613	46	0
9	1138253718	794344613	46	0
10	1205439455	794344613	46	0
11	-69232230	794344613	46	0
12	-69513843	794344613	46	0
13	-70491421	794344613	46	0
14	-70443185	794344613	46	0
15	-70733889	794344613	46	0
16	-70910331	794344613	46	0
17	-71214527	794344613	46	0
18	-71495323	794344613	46	0
19	-71468543	794344613	46	0
20	-71729699	794344613	46	0
21	-71952580	794344613	46	0
22	-72048334	794344613	46	0
23	-72305696	794344613	46	0
24	-72572014	794344613	46	0
25	-72800832	794344613	46	0
26	-73067226	794344613	46	0
27	-73474892	794344613	46	0
28	-73741286	794344613	46	0
29	-73970104	794344613	46	0
30	-74236498	794344613	46	0
31	-74493860	794344613	46	0
32	-74760254	794344613	46	0
33	-74989072	794344613	46	0
34	-75208539	794344613	46	0
35	-75431307	794344613	46	0
36	-75691875	794344613	46	0
37	-75952443	794344613	46	0
38	-76213011	794344613	46	0
39	-76473579	794344613	46	0
40	-76734147	794344613	46	0
41	-76994715	794344613	46	0
42	-77255283	794344613	46	0
43	-77515851	794344613	46	0
44	-427977973	315520200	62	0
45	-425252759	315520200	62	0
46	-424260584	315520200	62	0
47	-502427328	315520200	62	0
48	-303104369	842705718	66	0
49	-303441419	842705718	66	0
50	-310527951	842705718	66	0
51	-310738289	842705718	66	0
52	-317557835	842705718	66	0
53	-324315461	842705718	66	0
54	-683884796	774372478	79	0
55	1899141184	1758617162	86	0
56	361647144	1758617162	86	0
57	355486138	1758617162	86	0
58	-756456955	648758334	88	0
59	1970322356	1126146013	96	0
60	788571376	2050533546	102	0
61	755055663	2050533546	102	0
62	136854328	1840137446	109	0
63	-771524165	1657028899	121	0
64	1957234919	87213658	122	0
65	-1021940878	1490405351	123	0
66	-1396455835	1112810398	124	0
67	1551043325	1112810398	124	0
68	-1840154467	1646557243	129	0
69	-1851098065	1646557243	129	0
70	-2088211082	1398849643	130	0
71	2144043931	881004847	136	0
72	1500538818	23669378	138	0
73	1253902676	702292040	143	0
74	1287631264	702292040	143	0
75	1212673630	444782203	144	0
76	-1996664185	1512464332	146	0
77	618811226	943451154	148	0
78	748138625	1027740496	149	0
79	1446361702	1756413429	151	0
80	-21512439	1594473764	155	0
81	-886293525	675206838	159	0
82	-879268620	675206838	159	0
83	-504788411	1325255685	164	0
84	-9099053	1884905211	167	0
