# runtime	.NET CLR 6.0.36
# platform	OSX	Unix 26.5.2
# seed	20260817
# build	833427992d+c3a846e7/9e602b0f/1749f466
# netframe	synchash	sharedrandom	randomdraws	defeatstate
1	-806655259	603497325	7	0
2	-806470266	603497325	7	0
3	-806470266	603497325	7	0
4	-806470266	603497325	7	0
5	-806470266	603497325	7	0
6	-806470266	603497325	7	0
7	-806470266	603497325	7	0
8	-806470266	603497325	7	0
9	-806470266	603497325	7	0
10	-806470266	603497325	7	0
11	-806470266	603497325	7	0
12	-806470266	603497325	7	0
13	-806470266	603497325	7	0
14	-806506746	603497325	7	0
15	-806565066	603497325	7	0
16	-806626986	603497325	7	0
17	671548701	185437039	11	0
18	-670484741	185437039	11	0
19	-670569725	185437039	11	0
20	-670637603	185437039	11	0
21	456102408	1312134354	12	0
22	456012774	1312134354	12	0
23	455982066	1312134354	12	0
24	455850064	1312134354	12	0
25	455812732	1312134354	12	0
26	455807980	1312134354	12	0
27	869586062	1950519077	20	0
28	446383435	1950519077	20	0
29	445639357	1950519077	20	0
30	1777801242	1950519077	20	0
31	609303049	780593929	22	0
32	1630967647	64612819	23	0
33	-976440856	64612819	23	0
34	-977207241	64612819	23	0
35	-977252860	64612819	23	0
36	-908376932	135329727	26	0
37	1663451903	518702567	27	0
38	-1174575661	518702567	27	0
39	-1471122359	229952394	28	0
40	-1469546905	229952394	28	0
41	-320356913	1381229224	30	0
42	539543169	1381229224	30	0
43	602118765	1441533615	31	0
44	-1038618540	1969716308	32	0
45	-1004922528	1969716308	32	0
46	-2130854137	834885794	34	0
47	1715702493	388358680	35	0
48	2051069315	561295852	39	0
49	281282652	631989329	40	0
50	1408553988	199103	41	0
51	1414301134	199103	41	0
52	324290144	999554203	43	0
53	-307604060	367226493	44	0
54	-298406220	367226493	44	0
55	934890869	1617420234	47	0
56	1355965774	2029210727	48	0
57	-1344597392	617636251	49	0
58	1636729428	617636251	49	0
59	1745587648	726164087	50	0
60	-46104906	1110005823	51	0
61	-2064486955	1685659328	54	0
62	1416362389	868515016	55	0
63	-1450053430	1877361473	56	0
64	676626451	132670746	58	0
65	81290650	1479334128	62	0
66	-1545710180	942610698	65	0
67	-495050866	1091191087	68	0
68	1255474946	627340362	69	0
69	-1789235599	1872277406	72	0
70	-1567315426	1449045680	74	0
71	2020981869	1534208144	75	0
72	-73362332	1534208144	75	0
73	1533168572	1525845404	78	0
74	2032908918	1120520844	80	0
75	109544954	668731100	83	0
76	778853054	1833398482	84	0
77	-234926958	813495801	86	0
78	520561195	1414482021	92	0
79	1521103971	268040234	94	0
80	644227043	1358380898	95	0
81	1287756572	818527897	97	0
82	2135837345	1665852962	100	0
83	-1800947470	1057765303	101	0
84	-2045777449	834475310	103	0
85	-1448733659	1417323846	107	0
86	-768596669	2100897534	108	0
87	1546416956	1305652917	110	0
88	1058004158	2090493848	115	0
89	1206447727	2133748264	117	0
90	-511631820	443216541	120	0
91	-187806167	1241978645	125	0
92	-111219611	188307075	129	0
93	-1000341288	24574405	131	0
94	-722962101	1374476541	135	0
95	1767632347	331452793	138	0
96	-644227347	309109287	141	0
97	-1110949976	1002371373	146	0
98	27260877	253788355	149	0
99	-1722361998	1820143781	154	0
100	-2090703947	1389253110	159	0
101	1253950508	635566069	163	0
102	18562992	580032246	168	0
103	1937515266	1276556190	171	0
104	624358547	1788970655	175	0
105	1846928995	752803961	178	0
106	2123562070	1012332062	182	0
107	1463357282	782539466	187	0
108	437704783	1992057665	195	0
109	154891396	1645930021	198	0
110	-495704271	1507342484	201	0
111	-1772068187	498991788	207	0
112	-1754229306	643105165	210	0
113	989904686	816198960	218	0
114	-1238127765	245353174	222	0
115	1859790348	1180101154	226	0
116	1160739786	634843751	232	0
117	-1643637505	1330899058	236	0
118	731193915	656281104	243	0
119	-2090935790	204808900	247	0
120	-343753035	1553329009	252	0
121	-1395781627	349699180	257	0
122	-1001154383	1708882416	264	0
123	393915094	595601005	269	0
124	-961169099	205137165	272	0
125	616725381	338591829	276	0
126	-1860973508	753127882	281	0
127	188266937	526891095	284	0
128	8050983	106660092	293	0
129	-564928480	892670128	298	0
130	1857791525	1236610075	303	0
131	2068235987	1248334235	311	0
132	-243604719	813287670	316	0
133	1842093129	1377015382	320	0
134	-712910813	491848856	322	0
135	11434081	1266734584	328	0
136	2098168965	355025343	333	0
137	922034026	1771282360	337	0
138	250412671	483139766	349	0
139	-449801894	297756205	354	0
140	-1192107696	2046125395	362	0
141	556535423	660102315	364	0
142	-18719303	478186388	372	0
143	-1828017447	1475065869	375	0
144	-324758758	1478371066	381	0
145	-382704014	1206034884	383	0
146	1847444891	1382883524	392	0
147	-617655575	1768173201	395	0
148	1645433018	525397900	407	0
149	-501217796	1941677676	413	0
150	-913713356	798361705	419	0
151	287167312	968889914	425	0
152	-1451715221	854923674	429	0
153	1297581250	69573226	437	0
154	1176473895	406260022	443	0
155	-1514670557	1519789374	449	0
156	31694085	924825403	456	0
157	-1395734159	709867152	459	0
158	-785319104	1091617988	473	0
159	-1189231477	1315960679	483	0
160	-499699166	1972280800	486	0
161	123513279	1120707158	492	0
162	398238726	1277537366	498	0
163	-983802240	1107496905	505	0
164	-549572377	1507524348	510	0
165	-1226379826	69542906	516	0
166	-1596171445	232869325	523	0
167	-451971556	1517902209	533	0
168	2147187038	2104732230	540	0
169	1987533661	268399387	545	0
170	-135857135	1094806390	551	0
171	-1960191063	690731928	558	0
172	-1333491831	1070551904	563	0
173	1785188433	1992563702	573	0
174	1563983007	1098033201	580	0
175	2032970025	1306877236	589	0
176	1557863195	1079715267	598	0
177	599116376	1278552824	606	0
178	-146208531	579884199	618	0
179	988600684	1375172007	627	0
180	1838474331	1564645336	634	0
181	-1315443072	411136782	640	0
182	-439136173	773761091	650	0
183	1445168258	1933106722	655	0
184	292863161	1834734256	660	0
185	678918946	1824660371	668	0
186	393691530	23811869	678	0
187	558576605	1692158595	685	0
188	-2133372793	1254157651	697	0
189	1183782101	230128909	703	0
190	-34246083	1196128585	709	0
191	1396897150	47465368	716	0
192	-470257167	1617571209	727	0
193	1537584272	1516803546	733	0
194	2062726638	1927767483	739	0
195	-239069072	1977506927	750	0
196	-1596339747	1029546169	759	0
197	926959591	600117814	765	0
198	944819616	1018271211	774	0
199	-137923872	232756703	782	0
200	-2014873605	1437278903	788	0
201	793765137	196781119	799	0
202	704571824	348276992	806	0
203	-1984868223	1913025186	811	0
204	-1312852126	1259491426	817	0
205	2059962789	1266714385	824	0
206	-86112576	175395192	831	0
207	1688517429	121531175	839	0
208	-668723465	1637518649	852	0
209	596614617	846499654	856	0
210	130901065	1700271895	863	0
211	-285772547	1272342634	872	0
212	-37371292	1343022691	883	0
213	1499236811	1023344903	890	0
214	1517459644	673122597	895	0
215	-348243840	571085077	903	0
216	-1323052811	1031668249	910	0
217	-565199424	734198269	919	0
218	1262414687	1210258232	929	0
219	2051039495	989462501	939	0
220	676611130	194396521	943	0
221	-1715558427	89879109	949	0
222	-1468847830	233893744	956	0
223	290872520	898307457	963	0
224	512429250	2053463046	965	0
225	36423262	1245867049	973	0
226	-411381459	1592216806	981	0
227	-289608010	1370766552	992	0
228	1472976002	49934014	1006	0
229	-722575630	1917560447	1011	0
230	-1250593817	399937223	1014	0
231	-1539650611	2102360948	1020	0
232	1139607541	1589516929	1030	0
233	526420489	722003025	1036	0
234	-458704126	860971362	1045	0
235	-569160177	812905897	1054	0
236	1230372989	1728136169	1058	0
237	-1919084020	2111213410	1065	0
238	667065029	1666832373	1069	0
239	1887014674	404669447	1078	0
240	-2024285663	494579281	1083	0
241	-319527701	337127309	1093	0
242	2125998086	983042090	1097	0
243	-1088097767	151976466	1104	0
244	923143788	1309066833	1109	0
245	-1363728687	883247859	1119	0
246	1424275324	600579340	1127	0
247	-277441928	1578543270	1138	0
248	-1212870727	650475806	1142	0
249	359788142	818924957	1152	0
250	882918701	1207659032	1157	0
251	30144690	1033000836	1167	0
252	100105450	1424662426	1172	0
