unit,display_name,faction,cost,group,thresholds_xp,thresholds_in_own_cost,bonuses,earns_xp_how,inert_bonuses,buildable,prerequisites_disabled,kills_for_rank1_vs_50cr_target,accrual_rank1_min,accrual_rank2_min,accrual_rank3_min,concealment_base,concealment_rank_steps_under_cap
A10,Attack Aircraft,both/neutral,6000,Group E,600000 1200000 2400000 4800000,1x 2x 4x 8x,"FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:EjectOnDeath,WithDecoration","kills (30mm.A10, Hellfire); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,120.0,9.0,27.0,80.9,2,4
A10.Airstrike,Attack Aircraft,not buildable,6000,Group B,600000 1200000 2400000 4800000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (30mm.A10, Hellfire); not buildable: no accrual; evacuation credits rank back",,no,no,120.0,,,,2,4
AA,AA Specialist,both/neutral,300,Group A,30000 60000 120000 240000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (MANPAD); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,6.0,3.9,11.6,34.7,3,4
AA.america,AA Specialist,America,300,Group A,30000 60000 120000 240000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (MANPAD); purchase stock (accrual); evacuation credits rank back,,yes,no,6.0,3.9,11.6,34.7,3,4
AA.russia,AA Specialist,Russia,300,Group A,30000 60000 120000 240000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (MANPAD); purchase stock (accrual); evacuation credits rank back,,yes,no,6.0,3.9,11.6,34.7,3,4
AR,Automatic Rifleman,both/neutral,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.AR, 5.56mm.AR); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,2.0,3.2,9.7,29.1,3,4
AR.america,Automatic Rifleman,America,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.AR, 5.56mm.AR); purchase stock (accrual); evacuation credits rank back",,yes,no,2.0,3.2,9.7,29.1,3,4
AR.russia,Automatic Rifleman,Russia,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.AR, 5.56mm.AR); purchase stock (accrual); evacuation credits rank back",,yes,no,2.0,3.2,9.7,29.1,3,4
AT,AT Specialist,both/neutral,300,Group A,30000 60000 120000 240000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (ATGM); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,6.0,3.9,11.6,34.7,3,4
AT.america,AT Specialist,America,300,Group A,30000 60000 120000 240000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (ATGM); purchase stock (accrual); evacuation credits rank back,,yes,no,6.0,3.9,11.6,34.7,3,4
AT.russia,AT Specialist,Russia,300,Group A,30000 60000 120000 240000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (ATGM); purchase stock (accrual); evacuation credits rank back,,yes,no,6.0,3.9,11.6,34.7,3,4
C1,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.5,,,,3,4
C10,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
C11,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
C2,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
C3,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
C4,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
C5,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
